ダ	4	\N	\Nt\N
チ	0	\N	\Nt\N
チ	1	\N	\Nt\N
チ	2	\N	\Nt\N
ヂ	0	\N	\Nt\N
ヂ	1	\N	\Nt\N
ヂ	2	\N	\Nt\N
ヂ	3	\N	\Nt\N
ヂ	4	\N	\Nt\N
ッ	0	\N	\Nt\N
ッ	1	\N	\Nt\N
ッ	2	\N	\Nt\N
ツ	0	\N	\Nt\N
ツ	1	\N	\Nt\N
ツ	2	\N	\Nt\N
ヅ	0	\N	\Nt\N
ヅ	1	\N	\Nt\N
ヅ	2	\N	\Nt\N
ヅ	3	\N	\Nt\N
ヅ	4	\N	\Nt\N
テ	0	\N	\Nt\N
テ	1	\N	\Nt\N
テ	2	\N	\Nt\N
デ	0	\N	\Nt\N
デ	1	\N	\Nt\N
デ	2	\N	\Nt\N
デ	3	\N	\Nt\N
デ	4	\N	\Nt\N
ト	0	\N	\Nt\N
ト	1	\N	\Nt\N
ド	0	\N	\Nt\N
ド	1	\N	\Nt\N
ド	2	\N	\Nt\N
ド	3	\N	\Nt\N
ナ	0	\N	\Nt\N
ナ	1	\N	\Nt\N
ニ	0	\N	\Nt\N
ニ	1	\N	\Nt\N
ヌ	0	\N	\Nt\N
ヌ	1	\N	\Nt\N
ネ	0	\N	\Nt\N
ネ	1	\N	\Nt\N
ネ	2	\N	\Nt\N
ネ	3	\N	\Nt\N
ノ	0	\N	\Nt\N
ハ	0	\N	\Nt\N
ハ	1	\N	\Nt\N
バ	0	\N	\Nt\N
バ	1	\N	\Nt\N
バ	2	\N	\Nt\N
バ	3	\N	\Nt\N
パ	0	\N	\Nt\N
パ	1	\N	\Nt\N
パ	2	\N	\Nt\N
ヒ	0	\N	\Nt\N
ヒ	1	\N	\Nt\N
ビ	0	\N	\Nt\N
ビ	1	\N	\Nt\N
ビ	2	\N	\Nt\N
ビ	3	\N	\Nt\N
ピ	0	\N	\Nt\N
ピ	1	\N	\Nt\N
ピ	2	\N	\Nt\N
フ	0	\N	\Nt\N
ブ	0	\N	\Nt\N
ブ	1	\N	\Nt\N
ブ	2	\N	\Nt\N
プ	0	\N	\Nt\N
プ	1	\N	\Nt\N
ヘ	0	\N	\Nt\N
ベ	0	\N	\Nt\N
ベ	1	\N	\Nt\N
ベ	2	\N	\Nt\N
ペ	0	\N	\Nt\N
ペ	1	\N	\Nt\N
ホ	0	\N	\Nt\N
ホ	1	\N	\Nt\N
ホ	2	\N	\Nt\N
ホ	3	\N	\Nt\N
ボ	0	\N	\Nt\N
ボ	1	\N	\Nt\N
ボ	2	\N	\Nt\N
ボ	3	\N	\Nt\N
ボ	4	\N	\Nt\N
ボ	5	\N	\Nt\N
ポ	0	\N	\Nt\N
ポ	1	\N	\Nt\N
ポ	2	\N	\Nt\N
ポ	3	\N	\Nt\N
ポ	4	\N	\Nt\N
マ	0	㇇	U+31C7	CJK STROKE HP
マ	1	㇔	U+31D4	CJK STROKE D
ミ	0	\N	\Nt\N
ミ	1	\N	\Nt\N
ミ	2	\N	\Nt\N
ム	0	\N	\Nt\N
ム	1	\N	\Nt\N
メ	0	\N	\Nt\N
メ	1	\N	\Nt\N
モ	0	\N	\Nt\N
モ	1	\N	\Nt\N
モ	2	\N	\Nt\N
ャ	0	\N	\Nt\N
ャ	1	\N	\Nt\N
ヤ	0	\N	\Nt\N
ヤ	1	\N	\Nt\N
ュ	0	\N	\Nt\N
ュ	1	\N	\Nt\N
ユ	0	\N	\Nt\N
ユ	1	\N	\Nt\N
ョ	0	\N	\Nt\N
ョ	1	\N	\Nt\N
ョ	2	\N	\Nt\N
ヨ	0	\N	\Nt\N
ヨ	1	\N	\Nt\N
ヨ	2	\N	\Nt\N
ラ	0	\N	\Nt\N
ラ	1	\N	\Nt\N
リ	0	\N	\Nt\N
リ	1	\N	\Nt\N
ル	0	\N	\Nt\N
ル	1	\N	\Nt\N
レ	0	\N	\Nt\N
ロ	0	\N	\Nt\N
ロ	1	\N	\Nt\N
ロ	2	\N	\Nt\N
ヮ	0	\N	\Nt\N
ヮ	1	\N	\Nt\N
ワ	0	\N	\Nt\N
ワ	1	\N	\Nt\N
ヰ	0	\N	\Nt\N
ヰ	1	\N	\Nt\N
ヰ	2	\N	\Nt\N
ヰ	3	\N	\Nt\N
ヱ	0	\N	\Nt\N
ヱ	1	\N	\Nt\N
ヱ	2	\N	\Nt\N
ヲ	0	\N	\Nt\N
ヲ	1	\N	\Nt\N
ヲ	2	\N	\Nt\N
ン	0	\N	\Nt\N
ン	1	\N	\Nt\N
ヴ	0	\N	\Nt\N
ヴ	1	\N	\Nt\N
ヴ	2	\N	\Nt\N
ヴ	3	\N	\Nt\N
ヴ	4	\N	\Nt\N
ヵ	0	\N	\Nt\N
ヵ	1	\N	\Nt\N
ヶ	0	\N	\Nt\N
ヶ	1	\N	\Nt\N
ヶ	2	\N	\Nt\N
ヷ	0	\N	\Nt\N
ヷ	1	\N	\Nt\N
ヷ	2	\N	\Nt\N
ヷ	3	\N	\Nt\N
ヸ	0	\N	\Nt\N
ヸ	1	\N	\Nt\N
ヸ	2	\N	\Nt\N
ヸ	3	\N	\Nt\N
ヸ	4	\N	\Nt\N
